title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
I use this all the time for events! Great for anything RSVP needed!,Jodylynne J.,Business Owner,"Real Estate, 1-10 employees",Used the software for: 1-2 years,NGC,Source: Capterra,"Apr 02, 2019",5,5,5,5,5,10.0,,"Pros: Love it! I use this for anything where I need an RSVP head count, or just want to plan a room size or meal. It's easy to setup your event, add pictures, time and date, plus description. You can even send the invites right from there especially if you already have the email addresses saved. It can also be shared directly into social media and easily accessed from there and sign up.","Cons: It's been great so I don't have any, we've liked everything about it. As a real estate company who plans open houses and events frequently it's become our go to tool for planning.",Overall: Wonderful experience,
Eventbrite is a great tool for creating and managing attendees for events.,Verified Reviewer,Business Owner,"Real Estate, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"Apr 30, 2018",5,5,5,4,5,10.0,,"Pros: I love the functionality of Eventbrite. For a free platform, it offers SO many different features. You not only can post events and get the word out there, but you can also manage attendees, send and schedule emails, and post the event to facebook right there through the website.","Cons: When it comes to accepting payments for paid tickets, the fees can be a little steep. I did a charity event and eventbrite still took a cut of ticket sales.",,
Easy way for Event Management - Ticketing,Garrett W.,Network Administrator,"Philanthropy, 11-50 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Dec 28, 2017",4,5,4,4,4,9.0,,"Pros: Love that there is an option for free ticketed events. Many of our events are free and this is a great way to get a headcount. Being that we do many free events and people just ""show up"" without signing up, it's great to be able to add attendees manually after the event has taken place to have a more accurate headcount.",Cons: I wish the pricing wasn't so steep. Many of our events are very low priced as we're a non-profit and only charge what it costs us to put the event on.,,
Review of EventBrite,Kishasha F.,Educator/Attorney/Administrator,"Education Management, 10,001+ employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jul 28, 2019",5,5,5,4,5,10.0,,Pros: I have used Eventbrite. It is VERY easy to use the software. I have used the software as I have signed up to attend and pay for various events. I like the software can be set up to send invited guests reminders about the upcoming event that one has signed up to attend. I also like that it can be used for free events and used to track potential guests.,Cons: I have NO cons about this software! It is a great tool to used to create events and have people register.,,
Great Software for Event Registration,Ian B.,"Senior Account Executive, Team Lead","Computer Software, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 11, 2018",5,4,5,4,5,9.0,,Pros: EventBrite makes it easy to register and sign-up for various events. It works from a mobile device and also allows you to browse events in your area if you are looking for things to do.,Cons: I think the search feature could be a little more comprehensive since currently it is limiting in terms of fields. Also I wish there was a way to auto-complete any registration form if it requires a lot of fields to fill out so you could save time.,,
Easy Party Organizing,Jeanine P.,Construction Estimator,"Construction, 51-200 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Mar 30, 2019",5,5,5,5,5,10.0,"Comments: I use this to organize our company celebrations/gatherings. It really helps keep things focused for me, and streamlines the process.","Pros: Very simple to use, easy to load pictures, pdfs, and fun fonts. Great for putting class into an online invitation, and for keeping track of who is coming to the event.","Cons: I like to format my invites creatively, there were some limitations to the formatting options. BUT, if your goal is to simplify the invitation and organization process, that's not such a drawback!",,
Exceptional Event Management Tool,Myca A.,"Director, Customer Experience","Philanthropy, 51-200 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,"May 04, 2018",4,5,3,5,4,7.0,"Comments: If you're looking for a way to sell tickets to your next event, you can't overlook Eventbrite. The features in the Professional and Premium suite specifically are valuable for event organizers of all kinds.","Pros: From the easy to use mobile purchasing to ticket scanning, Eventbrite truly is a ""bright"" platform to use for ticketing. We've used it for multiple live events and have always enjoyed using the product. Specifically, the Professional toolset allowed us to save a great deal of staff time.","Cons: I wish there were more integration with other platforms. We would like to be able to fully utilize our CRM and extend them to Eventbrite, but it's simply not easily feasible.",,
Eventbrite is very user friendly and have a lot of features,Verified Reviewer,"Director, Customer Experience",,Source: Capterra,NO,Source: Software Advice,"Jun 13, 2018",5,5,5,4,5,9.0,,"Pros: Eventbrite is very user friendly and have a lot of features for what I needed to use it for. The application is very easy to manuever around. There were additional features that I would have liked to use, but it was not available for my level of subscription.",Cons: Eventbrite didn't have all the features I thought it should have for the lower level user. It's pretty straight forward so I was able to make it work for what I needed.,,
"EVENTBRITE -- a needed software, but it can be complicated",amy r.,founder,"Marketing and Advertising, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 29, 2018",4,3,3,4,5,8.0,,"Pros: I think it serves and important need -- posting tickets and getting tickets for a local event.

I have used it both as a seller and buyer.",Cons: I wish there was better integration w/ the calandar. I miss events I would like to see,"Overall: It is an efficient way to attend events and to give access. I have used it both ways -- and it works!

As I mentioned above, I wish there was better calendar intergration. I like when I get emails suggestting events -- the algorythm seems to know my taste.",
A great platform for organizing and managing an event!,Arpan S.,Technical Support Consultant,"Computer Software, 10,001+ employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jan 21, 2019",5,5,5,5,5,10.0,,"Pros: - Events can be organized in a matter of minutes.

- Fully integrated with third party apps such as SurveyMonkey and MailChimp

- The interface is intuitive and the platform itself is very easy to use.","Cons: - The customer service is not good. It takes days to get an initial response on the email.

99% of the phone calls are routed to Voicemail!.",Overall: It is a great tool for organizing events and finding nearby events for an individual and an organization.,
EventBrite,Simera N.,"Manager, Hospital & Community Relations","Non-Profit Organization Management, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 03, 2018",5,5,5,5,5,10.0,,"Pros: -Ease of use

-Free to use if event is free

-Able to customize link for event

-Provides email alerts for each registration

-Ability to add logo to personalize event","Cons: -Doesn't give option for free version, to collect additional participant information such as phone number and address

-Doesn't give option of participant info in excel format for free version",Overall: Happy with the product. I've used to collect participant info for 2 events I've coordinated and used it to rsvp for events hosted by others,
Perfect for social butterflies,Marisa P.,Lawyer,"Legal Services, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 24, 2018",5,5,5,5,5,9.0,,"Pros: I absolutely love searching for events on eventbrite. You can find events based on different categories or genres. You can search by music, food, and by holiday. The possibilities are endless. You can find events in many different cities. As a social butterfly who also loves food, EventBrite is an amazing tool to venture out into the community.",Cons: We need it to become more popular as not all events are listed.,,
Event Information & Registration,Verified Reviewer,Lawyer,"Publishing, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"Sep 04, 2018",4,4,5,4,4,7.0,,Pros: Eventbrite is a convenient interface for attendees to view event information and register for events. It's also easy to cancel registrations and access a list of attendees.,"Cons: The skin/theming isn't as customizable as I would like for it to be, in order to match the theming on event pages. I would also like more options to be able to frame just the registration section instead of the full page; Eventbrite has decreased the framing/sharing options in recent years.",,
Easy Invitations,Laura B.,CEO,,Used the software for: 2+ years,NGC,Source: Capterra,"Aug 01, 2018",4,4,4,4,4,7.0,,"Pros: If you want to create a cool invite that reaches everyone who has email, and uses graphics that are fun this is an easy way to do that. Not everyone uses Facebook, so an invite here is better sometimes.","Cons: With all freebie software platforms there are advertisements, it's just annoying sometimes frankly. Also, it would be great if a snail mail option with postal purchasing built in was included. Some people still don't respond or get (believe it or not!) email.",,
Makes Registering for Events Especially Easy,Jean D.,Asset Manager,"Real Estate, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jul 13, 2019",4,4,4,4,4,7.0,,"Pros: I have registered for several conferences using EventBrite and I found it especially easy to use. Often conference registration is really cumbersome, asks for too many details and has too many pages. EventBrite seems to only ask for just the basics which is fine by me. I get a ticket on my phone and then that's it - I just pull it up when I arrive at the event. I don't have to print anything out beforehand - I just show up and show the ticket on my phone. Very easy experience.",Cons: I can't think of anything. As a registrant I am always happy to see that it is the software being used.,Overall: I think it is the seamlessness between registering on a desktop computer and then showing an admission ticket on a phone that makes EventBrite easy and almost transparent. Really nice experience overall.,
Great Event Planning Tool for Non-Profits,Jenna M.,Communications Manager,"Philanthropy, 11-50 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Jan 23, 2019",5,3,4,3,4,7.0,Comments: Eventbrite has pretty much any feature or service that you could need to plan an event.,"Pros: For events where there is no ticket charge, Eventbrite is free to use. For a non-profit, this is great as we put on a lot of free events. It also so easy to manage and track event attendees through Eventbrite.","Cons: In the past, I have found the customer service to be a little lacking, especially when I want to try and get someone on the phone.",,
Eventbrite is the best!,Chris W.,Sales Manager,201-500 employees,Used the software for: 2+ years,NGC,Source: Software Advice,"Feb 11, 2018",4,4,4,3,4,9.0,,"Pros: Working with various events I have enjoyed my experience with eventbrite. Really easy to use for customers, will help you track and keep your event organized without worry. The positives are lots of features, options for collecting payments, reporting, notifications, and use of app. It works great!",Cons: Their service fees are on the higher side. Would like to see more options for templates (use for promotion) which better fit what we're going for per event.,,
An okay event service.,Verified Reviewer,Sales Manager,,Source: Capterra,NGC,Source: Software Advice,"May 08, 2018",5,5,4,3,4,6.0,,Pros: I never had any issues using it. The UI/UX is quite clear and havent noticed anything that would stop me from using it. Other than that its up to the creator if he will make the event on facebook eventbrite etc.,"Cons: There isnt really any incentive to use it. I get annoyed that I have to retype things from my account a lot of times but its kinda irrelevant. If someone wants me to sign up through it, I will but thats it.",,
EventBrite,Courtney D.,Admin,"Food & Beverages, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jul 29, 2019",5,5,5,5,4,9.0,,Pros: I like the ease of use to invite so many people at once to an event. I also like the tracking of responses to make planning easier for headcount and such.,Cons: I wish the software had better templates for invitations. A more upgraded software or graphics would be great. I also wish it was a tad easier importing contacts.,"Overall: Overall, i truly aids us in being able to mass generate invitations for marketing events and such. It also helps us stay organized in terms of preparing for the events.",
Eventbrite is a great Organization Tool,Courtney S.,Senior Account Manager,"Hospital & Health Care, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 19, 2018",4,4,4,4,4,8.0,,"Pros: It is easy to organize an event and invite others in a timely and accurate matter. Also, finding events to attend or join is easy with this tool, which is especially important for those owning small businesses and need to make their presence known in the community.",Cons: I have no complaints with this software.,"Overall: Overall, Eventbrite is an easy tool and fun to use. It makes finding, attending and planning events simpole and enjoyable.",
Eventbrite allow me to sell or distribute the tickets for an event,Verified Reviewer,Senior Account Manager,"Internet, 51-200 employees",Source: Capterra,NGC,Source: Capterra,"May 04, 2018",5,5,5,5,4,9.0,,"Pros: Is beautiful to use. Eventbrite is very well designed, so it is very useful to understand how the things work. The best of Eventbrite is that is free when your event is free! So when I'm organizing a free conversation or conference i know Eventbrite is the best solution to distribute my entrance tickets. Even when is a paid event, Eventbrite only takes the 6% as a commission for the sell and it give me an event page to promote the event and an app to control the sales.","Cons: It could be amazing if Eventbrite implements more payment methods (I know you can use Debit and credit cards), that could be useful in no banked countries. Sometimes people prefers to go and pay physically what they buys.",Overall: You can organize and sell your tickets for your next conference or class.,
A one-stop shop to purchase (almost) all your tickets,Verified Reviewer,Senior Account Manager,"Computer Software, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"Jan 16, 2019",4,5,5,5,5,10.0,,"Pros: I can purchase and RSVP to thousands (even millions?) of events through their site. But most importantly: I trust them. Having used some shady sites and getting scammed, Eventbrite is a breath of fresh air.",Cons: I find their mobile web experience a bit lacking. That's all I can think of.,Overall: Been using on and off through the years. Always a great experience.,
Great for small businesses!,Nicole W.,Marketing Manager,"Primary/Secondary Education, 1-10 employees",Used the software for: 6-12 months,NGC,Source: Software Advice,"Dec 13, 2018",4,5,4,5,5,8.0,"Comments: Amazing Customer Service - whenever I had a question, I was able to get a quick answer either via phone or live chat",Pros: -Easy use and implementation on website -good analytical insights -great customer service -has all features that our businesd needs,Cons: Some features only seem to be accessible by the account owner and not the other admins (e.g. download attendee list including all form questions),,
"Easy and accessible, high transaction fees",Verified Reviewer,Marketing Manager,"Higher Education, 201-500 employees",Source: Capterra,NGC,Source: Software Advice,"Mar 28, 2019",5,5,5,2,5,8.0,,"Pros: It's incredibly easy to learn how to use Eventbrite, and it's pretty universally used, so users can easily navigate your event page to get details and purchase tickets, and it can be seamlessly integrated to many other platforms you're using to share your event.","Cons: The transaction fees are quite pricey, unless you're hosting a free event, so I would definitely recommend doing your research before blindly using Eventbrite for your events.",,
Bringing events to your computer.,Verified Reviewer,Marketing Manager,"Legal Services, 11-50 employees",Source: Capterra,NGC,Source: Software Advice,"Nov 26, 2018",4,2,3,2,3,5.0,,"Pros: I like the fact that you can just set-up an event if you're organising one. Everyone can sell tickets for their events and that's a good thing, makes your event available to a large audience so you could probably get more visitors by putting it on a website like Eventbrite.",Cons: When you are selling tickets you will have some trouble solving everything. I remember having a lot of trouble with changing events and the available tickets. Had to wait a long time to get a response from their support aswell.,Overall: Overall I like the idea of Eventbrite and it somehow works decent enough. (at the side of customers buying tickets the site is perfect and you'll have your tickets immediatly in your mailbox after paying). But from a seller's perspective I think they could've done a way better job at making it simple and easy to use.,
Makes it very easy to schedule events,Cindy L.,Talent Acquisition Specialist,,Used the software for: 2+ years,NGC,Source: Capterra,"Aug 01, 2018",5,5,5,4,5,10.0,,"Pros: I have been using Eventbrite for several years. It is very user-friendly. Anyone can figure it out. You can manage rsvps, updates, pricing/location info, etc. It also keeps a history of your past events.","Cons: Not much that I don't like. I've used other event planning apps/software, but I still like Eventbrite. Maybe they could eliminate or extend the timer that they place on the screen to finish your order before the tickets go back in the pool.",,
Eventbrite Provides Professionalism,Jason D.,Lead Pastor,"Religious Institutions, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jul 11, 2019",5,5,5,4,5,10.0,,"Pros: In my personal use for professional development events and in our organization's use for public events, Eventbrite brings clarity and simplicity to event publication and registration.",Cons: Every experience with Eventbrite has been excellent. I cannot think of an improvement that I have wished for while using it.,Overall: I have used this product to register for events for myself as well as participated in setting up public events through Eventbrite for others to use for registration.,
Very helpful for planning events,Michael H.,President & Executive Director,"Non-Profit Organization Management, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 04, 2018",5,5,5,4,5,10.0,,Pros: We almost always use Eventbrite for planning events because it is easy for us and easy for our participants when they register to attend. The fees are reasonable and we've never had a problem.,"Cons: At first, we found it a little difficult to link Eventbrite to some of the other software we use, including our website, so that people could go to one place for registering. Eventually, we got the hang of it, and now there's no problems at all.",,
Great event registration site,Valerie T.,Graphic Designer,"Hospital & Health Care, Self-employed",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 03, 2018",5,5,3,5,4,9.0,,Pros: I like Eventbrite b/c of the way it integrates with social media. I can set up my facebook event page and have the option for people to buy tickets right there without having to be re-directed back to eventbrite. That is super helpful and makes us look really professional.,"Cons: I don't like that you can't really customize your event page. I think that was a recent change b/c you used to be able to manipulate colors and fonts for the page, but now the colors automatically generate based on your event header image.",Overall: Eventbrite has been a great tool for selling tickets. I like that you can send email notifications to all or just a portion of your registrants. You can easily keep track of tickets sold and manipulate those controls. And I like the analytics that help you know who is buying and when. Great product.,
Such a great tool to make event hosting/going much simpler,Chris W.,,,Used the software for: 2+ years,NGC,Source: GetApp,"Mar 18, 2018",5,5,5,5,4,10.0,,"Pros: We've never hosted an event, but have been on the ""guest"" end several times and each time we use Eventbrite, we can rest at ease knowing our bases are already covered and we don't have to worry about printing, remembering, or picking up any physical tickets. Makes attending the event so much easier to have everything in one place.","Cons: We're really happy this app exists, though again we can't speak to the ""hosting"" side of using the app.",,
Love it,RC R.,COO,"Computer Software, 1-10 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Mar 12, 2017",5,5,5,5,3,8.0,Comments: I could not imagine a better event RSVP software product. My life has changed since I used it.,,,,
I think this is pretty useful tool for events.,Jessica M.,"Founder, Co Owner, & Designer","Design, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Mar 05, 2019",5,5,5,5,5,10.0,,"Pros: I would say that Eventbrite can handle really any event you want to promote or track tickets for. Even if you are a small business or an individual looking to book for an event. It sends out automatic emails and reminders, tracks your ticket sales, and embed events right onto your website.",Cons: I would say the only thing I think would be cool is if you could white label this service somehow so Eventbrite's name didn't show up.,,
I've used Eventbrite to help launch a local directory site,Jake M.,Website Startup,"Leisure, Travel & Tourism, Self-employed",Used the software for: 6-12 months,NGC,Source: Capterra,"Apr 05, 2019",5,5,5,5,5,10.0,,Pros: I liked how easy it was to navigate and use. It's a simple idea that can be very beneficial for the right person.,Cons: Sometimes when it shows up in search engines it's not always accurate for what you were originally searching for.,Overall: I used Eventbrite to help spread the word of a local directory website and community/tourism business. It was easy to use and beneficial for both myself and customers.,
"Relatively easy to use, recognizeability",Stephanie L.,Coach,"Mental Health Care, Self-employed",Used the software for: 2+ years,NGC,Source: Capterra,"Jan 21, 2019",4,3,3,5,4,6.0,,"Pros: It's popular and recognizable, so hosting your event on this platform lends it some automatic credibility.","Cons: I don't find it's interface particularly intuitive or user-friendly. That being said, you get used to it after a few times using it. Another con, they take out a significant chunk for Eventbrite processing fee. Many platforms take less commission, but are not as popular as Eventbrite (yet).",,
Eventbrite is efficient in this day and time...,Star H.,Business Owner,"Photography, Self-employed",Used the software for: 6-12 months,NGC,Source: Capterra,"Apr 26, 2019",5,5,5,5,5,10.0,,"Pros: I like the ability to get the word out about an Event to a mass number of individuals through e-vite and sharing a link to the event on social media platforms, which followers/friends also share. Eventbrite is efficient and super easy to use. It makes life simple in our digital world where mailing invitations is no longer favorable. The Eventbrite softwate helps me get an idea of the event turnout even prior to the event through rsvps/tickets sold, which in turn helps me prep to host/serve a number guests accordingly. One option I enjoy using on Eventbrite is keeping the location as TBA, and releasing the event location info only to those who plan to attend.",Cons: I have no complaints about the Event software.,,
Fast and cost effective,Verified Reviewer,Business Owner,"Mental Health Care, 201-500 employees",Source: Capterra,NGC,Source: Capterra,"Nov 20, 2018",5,5,5,5,4,9.0,,"Pros: I liked that I had an option to switch between paid tickets and free tickets. I use Eventbrite to put on various events that are both paid and free to the public. This software has a large rate of use and people find it easy to understand. I have been able to easily see how many tickets have been reserved as well as communicate updates, with attendees easily able to cancel or remove their ticket.","Cons: Setting up software took a little time to get used to, but once I had an account and some preferences loaded, the whole process was much easier. Sometimes the recommended events at the bottom have had some company competitors which there isn't an option to remove.","Overall: Eventbrite is a fast, easy way to communicate details and send tickets about the event. With a little bit of time, a user can easily set up both paid and free events. I've hosted multiple events with this software and it's relatively painless to process payments and update the event.",
Your entertainment website,Jamie H.,Dental Assistant,"Hospital & Health Care, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 31, 2018",5,5,5,5,5,10.0,,Pros: I use Eventbrite for any and all shows i attend in my city and it is all i use. Not only do i find it better then Ticketmaster i feel like the service fees are less as well.,Cons: I have absolutely nothing bad to say against Eventbrite. I have used this site for years and have yet to run into issues.,Overall: Overall my experience with Eventbrite has been excellent. I am able to find and purchase tickets for ALMOST every show i go to PLUS my friends who throw events use them.,
Event Management done right!,Verified Reviewer,Dental Assistant,"Apparel & Fashion, 10,001+ employees",Source: Capterra,NGC,Source: Capterra,"Sep 08, 2018",4,5,4,4,4,8.0,,"Pros: I love the integration between the desktop and the mobile app. Also, I have found that the community sense on eventbrite is better than other similar tools. The potential event matching capabilities of Eventbrite are better and I constantly find myself aligned with the recommended events that are published on the site.",Cons: If eventbrite could be integrated into an existing social media platform then it would be easier to track events through that integration as currently they have to be tracked seperately.,Overall: Good overall experience with Eventbrite,
LOVE LOVE LOVE Eventbrite,Verified Reviewer,Dental Assistant,"Financial Services, 501-1000 employees",Source: Capterra,NGC,Source: Capterra,"Dec 03, 2018",5,5,5,4,4,9.0,,"Pros: It's it literally my one stop shop. Now that is has gps locator, I don't have to enter the city! I travel often so this software is extremely beneficial when I want to find out the happenings.","Cons: I have in the past had issues with the financial tools, but recently eventbrite has made it even easier to use. I've been a user for over six years now.",,
As a user this was awesome!,Kasja W.,Office Assistant/Dispatcher/Marketer,,Used the software for: 2+ years,NGC,Source: Capterra,"Apr 03, 2018",5,5,5,4,4,9.0,,"Pros: I loved how when invited to an event you can put your ticket for the event right into your wallet on your iphone! Love how professional and easy it is to use, would definately use if our office ever needed to use something like that!","Cons: I got a ticket from an event in 2015 that I had put into my wallet on my iPhone and it is still there, not sure how to get rid of it. Not sure if it is an EventBrite thing or an Apple thing though.",,
Eventbrite,Verified Reviewer,Office Assistant/Dispatcher/Marketer,"Entertainment, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"Mar 29, 2019",5,5,5,4,4,9.0,,"Pros: Does everything I would need for buying tickets to shows and events that I want to attend. Pretty straightforward sign-up and archiving events, as well as accessing my tickets. Used for most events I go to, so it is convenient.",Cons: Could be better at recommending concerts and events I would actually want to attend. Their browse and suggestions don't always align with my interests.,,
Used for 20th Class Reunion,Josh K.,Graphic Designer,"Retail, 10,001+ employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 22, 2018",5,5,5,5,5,10.0,,Pros: The company has been doing events for a long time. THEY KNOW THEIR STUFF! They have everything covered for small events like the one I organized (100-200 people class reunion). They also have a great platform for larger events!,Cons: You must have a wi-fi connection to take credit cards at the event.,Overall: I used this software both from my desktop and from their convenient app. I used this to organize a 20-year reunion for my high school graduating class.,
Got an Event?,Krysti L.,Advising and Admissions Coordinator,"Higher Education, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Aug 22, 2018",5,5,5,5,5,9.0,,"Pros: I like the fact that you can send an invitation via email or other ways of communication over paper. It saves trees and lets you be creative when creating an invitation no matter the even. I've used them for birthday parties and also received several for birthdays, weddings, gender reveals and many more.",Cons: There isn't one thing I don't like about this. Being able to be creative and save time and money is excellent.,,
Eventbright User Friendly,Miriam J.,Recruiter,1-10 employees,Used the software for: 2+ years,NGC,Source: Software Advice,"Jan 24, 2019",5,5,5,5,5,10.0,"Comments: Try and verify who the tickets are for, in the case they are changing the person attending event allow for easier change. No single person needs 6 tickets to anything, period.",Pros: I use this several times a year to purchase. It's very straight forward and you don't have to worry about discrepancy in prices. I have mainly used this to purchase concert tickets and I usually see that the ticket prices stay stationary rather than fluctuating like other ticket or even websites. 10/10 recommend.,Cons: Something Eventbrite along with most other event ticket selling platforms should really work on is the emphasis they should place on people who are ordering a LOT of tickets at once. There tends to be a clear trend in scalping tickets especially for events in small venues.,,
Get Your Tickets,Malecia B.,"Music Editor, Contractor, Brand Ambassador","Entertainment, Self-employed",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 01, 2018",5,3,5,5,5,8.0,,"Pros: I like how I can search for tickets by category because the majority of the time I am looking for free, food or music related events.",Cons: It seems just a bit complicated to use as an administrator trying to set up an event. I'm sure it's really not that bad though and that I just need more time to utilize all that the software has to offer.,Overall: Fine. Now I mostly use the mobile tickets and I'm glad that I get a reminder email about my upcoming event.,
Simple and great way to get everyone together.,Jamie W.,Administrative Assistant,"Health, Wellness and Fitness, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 29, 2018",5,5,5,5,5,10.0,,"Pros: When trying to put together an event for 1000 employees and volunteers Eventbrite makes is easy for us to set up, track people, send the invites and remind people of the event.","Cons: Nothing particular comes to minds as it does what is needed and expected, we only use it once or twice a year.","Overall: It has made it so our HR and event planning committee spends less time figuring out logistics of who, what when and more time on the planning the fun of the event.",
Eventbrite review,Tammy l.,Administrative Director,"Medical Practice, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 19, 2018",5,5,5,5,5,10.0,,"Pros: Great for reviewing a meeting content, date and time. Takes minutes to both set up and respond to a new meeting and venue.",Cons: I cannot really think of a downside to this software. It truly takes minutes to use.,"Overall: This is the simplest of software for both setting up a meeting and reviewing a meeting invite. You have the ability to review the content of the meeting, the venue, date and time. Once accepted, it's one click to download to your calendar; Outlook, google, etc.",
A simple way to take in-person events to the next level of professionalism,Paola P.,Guest Relations,51-200 employees,,NGC,Source: Capterra,"May 08, 2018",5,5,5,4,4,10.0,,"Pros: I first used Eventbrite as a way to gather assistants for a promotional event. It made keeping track of the RSVPs and attendees so simple! I was able to export excel sheets with every person who confirmed they would assist, plus the fact that the reminders are sent out automatically and (at least) a paper ticket can be requested for the person to show on their phones or download them, makes them remember about the event even more. When you host a free event it is possible for a lot of people to forget about it or disregard it more easily, but when they have to take the time to download the ticket and so forth, it is more of a commitment. The add to calendar feature is also very very handy.","Cons: Not sure if this is offered (it sure must be), but a pay option with no Eventbrite branding would be perfect and if I use it again I would be glad to purchase it.",,
Great way to rsvp and make payment for events,Joy T.,Attendee,,Used the software for: 2+ years,NGC,Source: Capterra,"Jun 25, 2018",5,5,5,4,4,7.0,,Pros: I have always had an easy time responding to events on this software. I like that I am providing them with my information instead of the host when it is hosted by a group I am not familiar with,Cons: I have heard their fees are high in comparison to their competition. While as a guest I'm not privy to the details I have been told it increases the amount I pay to attend events using the software,Overall: Protect my financial information,
Eventbrite is so awesome with tickets!,Brian B.,Manager,"Primary/Secondary Education, 11-50 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Dec 04, 2018",5,5,5,5,5,10.0,Comments: Eventbrite saves and organizes your tickets whether the events or group sessions or webinars etc. are free or paid you still get a sense of it being an honorable situation younare going to since eventbrite makes the lrocess prior so satisfying.,Pros: It really is a very organized app and platform and makes your experience with getting tickets feel very special!,Cons: There are absolutely zero cons with eventbrite for me. I have always had a great and satisfying experience.,,
Great marketing and registration tool for events,Rae H.,Business Administrator,"Higher Education, 10,001+ employees",Used the software for: 2+ years,NGC,Source: Capterra,"Feb 10, 2019",5,5,5,5,5,10.0,,Pros: Eventbrite is easy to navigate from both the event planner and attendee's perspectives. The fees are also minimal for ticket purchases. The mobile app enables event goers to easily manage their schedules and tickets.,"Cons: Eventbrite is best for simple events. I would not recommend it for use in complicated events, such as conferences with multiple simultaneous sessions.",,
Really great tool for finding things to do around town that you never knew existed.,Verified Reviewer,Business Administrator,Hospital & Health Care,Source: Capterra,NGC,Source: Capterra,"Aug 01, 2018",5,5,5,5,5,10.0,,"Pros: This website has existed for 12 years but my girlfriend and I just found out about this a few months ago. She has lived in Dallas, TX her whole life and I have lived here for about 5 years now. We THOUGHT that we had done everything there was to do in Dallas, but after finding Eventbrite we realized we were very wrong. This website is really unique and easy to use and is truly a killer of boredom.","Cons: The only thing that I can think of that is a con of this software is that you can't ask questions about the events online. I think the site would greatly benefit from some type of forum for each event where people could ask questions and have someone who knows about the event answer them. My girlfriend and I have found ourselves wondering things like what kind of clothes to wear or what seating would be like with many events, and have not been able to get those questions answered.","Overall: Experiencing things that I never thought about and didn't know existed. Seeing Dallas, TX beyond just the mainstream stuff. Never running out of options for things to do on the weekend.",
Entertainment Awaits,Nicholas H.,Graduate Research Assistant,"Research, 5001-10,000 employees",Used the software for: 6-12 months,NGC,Source: Capterra,"Nov 05, 2018",4,5,4,4,5,8.0,,"Pros: I most enjoyed being able to view my already purchased tickets to events, and search for other events all within one mobile app. Eventbrite has been great for surprising my family with weekend outings to a variety of concerts, festivals, and other fun events.","Cons: I have only had a few minors issues with events not updating their head count or changes of dates to

Eventbrite. But these are very uncommon occurrences. Generally speaking I mostly never have this problem!","Overall: My overall experience with Eventbrite is a positive one. I prefer this app to others of its kind, and as the app continues to update I can tell that the development team is working hard to make their product one of a kind in terms of features, function, and convenience.",
Eventbrite makes Event Management Easy,Christine L.,Content Marketing Manager,"Marketing and Advertising, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 03, 2018",5,4,3,5,5,10.0,,"Pros: Regardless of the type of event, being able to keep track of attendance and are able to plan for the number of attendees more easily.","Cons: The fee per ticket for the paid plans is unfortunate but it's not terrible. Overall I'd have to say that's my least favorite part of the program, it is very helpful otherwise.",Overall: Our office space is multipurpose and can be used for external events. Eventbrite helps us gauge the attendance of those events.,
